aid,data,label
1747,0310,1
1747,0312,3
1747,0313,3
1747,0314,1
1747,0315,2
1747,0316,4
1747,0317,2
1747,0318,1
1861,0315,17
1861,0316,14
1915,0219,3
1915,0220,3
1915,0222,1
1915,0223,3
1915,0226,1
1915,0228,1
1915,0301,2
1915,0302,2
1943,0228,1
1943,0301,1
1943,0303,7
1943,0304,2
1943,0305,4
1943,0306,4
1943,0307,2
1943,0308,2
1943,0309,2
1943,0310,1
1943,0311,1
1943,0312,5
1943,0313,6
1943,0314,2
1944,0217,3
1944,0219,1
1944,0220,1
1957,0222,9
1957,0223,12
1957,0224,3
1957,0225,1
2019,0227,20
2155,0312,43
2155,0314,8
2155,0315,5
2155,0316,31
2155,0317,54
2155,0318,16
2155,0319,4
2171,0228,8
2171,0301,3
2171,0302,6
2171,0303,1
2171,0304,1
2171,0305,4
2171,0307,4
2171,0308,2
2171,0309,3
2171,0310,1
2171,0312,2
2171,0313,3
2171,0314,4
2171,0315,4
2171,0316,6
2171,0317,4
2171,0319,2
2201,0318,9
2201,0319,7
2216,0226,103
2264,0301,10
2317,0217,2
2317,0218,3
2317,0220,1
2317,0222,3
2317,0223,1
2317,0224,1
2317,0225,3
2317,0226,6
2317,0227,4
2317,0228,2
2317,0302,2
2317,0303,1
2317,0304,2
2317,0305,2
2317,0306,3
2317,0307,1
2317,0309,1
2317,0311,2
2317,0316,2
2317,0317,3
2317,0318,1
2336,0301,7
2393,0223,2
2393,0225,1
2393,0226,1
2393,0301,1
2405,0220,1
2405,0305,1
2405,0315,1
2426,0228,42
2426,0302,13
2426,0303,13
2426,0306,7
2426,0309,5
2426,0312,8
2426,0318,8
2463,0225,2
2463,0226,1
2463,0228,1
2463,0315,1
2463,0316,1
2463,0317,5
2463,0318,3
2463,0319,2
2490,0307,33
2490,0308,11
2490,0309,23
2490,0310,16
2490,0311,8
2490,0312,14
2490,0313,7
2490,0314,11
2490,0315,6
2490,0316,15
2490,0317,13
2490,0318,14
2490,0319,8
2503,0222,7
2503,0223,4
2503,0224,15
2503,0226,2
2503,0227,1
2503,0301,4
2503,0302,14
2503,0303,16
2503,0307,4
2503,0309,2
2503,0310,3
2503,0312,5
2503,0314,7
2503,0315,5
2503,0316,10
2503,0317,2
2563,0225,22
2563,0226,22
2563,0227,14
2563,0228,9
2569,0218,18
2569,0219,55
2569,0220,10
2569,0221,42
2569,0222,5
2569,0223,16
2569,0224,3
2569,0225,14
2569,0226,16
2569,0227,22
2569,0228,11
2569,0301,11
2569,0302,22
2569,0303,5
2569,0304,15
2569,0305,10
2569,0306,11
2569,0307,5
2569,0308,5
2569,0309,3
2569,0310,9
2569,0311,16
2569,0312,19
2569,0313,13
2569,0314,6
2569,0315,15
2569,0316,57
2569,0317,74
2569,0318,12
2593,0316,17
2593,0317,14
2594,0226,2
2594,0301,2
2594,0302,1
2594,0303,1
2594,0309,2
2594,0310,4
2594,0313,1
2594,0314,3
2594,0316,3
2594,0317,1
2594,0319,1
2619,0313,1
2679,0302,2
2704,0302,4
2704,0303,43
2714,0222,1
2714,0223,3
2714,0224,8
2714,0225,1
2714,0226,1
2714,0227,1
2714,0305,1
2714,0306,1
2714,0311,1
2714,0315,1
2714,0317,1
2714,0318,3
2714,0319,2
2746,0306,24
2746,0307,34
2746,0308,86
2746,0309,23
2746,0310,64
2746,0311,40
2746,0312,28
2746,0313,12
2746,0314,5
2746,0315,8
2746,0316,30
2746,0317,13
2746,0318,26
2746,0319,18
2758,0303,1
2761,0218,2
2761,0219,1
2761,0221,1
2761,0223,1
2761,0225,1
2761,0226,1
2761,0301,1
2761,0303,1
2761,0304,1
2761,0305,1
2761,0306,1
2761,0307,2
2761,0308,2
2761,0309,1
2761,0310,1
2761,0312,1
2761,0314,2
2761,0315,1
2761,0319,1
2823,0316,2
2823,0317,21
2823,0318,1
2823,0319,2
2826,0315,1
2829,0307,35
2829,0308,40
2829,0309,29
2842,0217,3
2842,0218,2
2842,0227,10
2842,0228,11
2842,0301,7
2842,0302,33
2842,0303,26
2842,0304,50
2842,0305,56
2842,0306,44
2842,0307,55
2842,0308,27
2864,0306,1
2864,0309,1
2888,0305,1
2890,0221,2
2890,0222,1
2890,0226,1
2890,0227,4
2946,0311,289
2946,0312,328
2946,0313,340
2946,0314,368
2946,0315,390
2946,0316,401
2946,0317,391
2946,0318,419
2946,0319,398
2950,0227,1
2950,0228,7
2950,0301,3
2950,0302,4
2950,0303,1
2950,0304,3
2950,0305,1
2950,0306,7
2950,0307,6
2950,0308,1
2950,0309,4
2950,0310,3
2950,0311,1
2950,0315,10
2950,0318,1
2950,0319,3
2954,0226,2
2954,0228,22
2954,0301,1
2954,0302,11
2954,0303,4
2954,0304,8
2954,0305,2
2954,0306,1
2954,0307,18
2954,0308,3
2954,0309,1
2954,0310,5
2954,0311,9
2954,0312,13
2954,0316,6
2954,0317,2
2961,0313,1
2961,0314,8
2961,0315,1
2966,0313,2
2983,0302,8
3066,0217,184
3066,0218,199
3066,0219,143
3066,0220,103
3066,0221,57
3066,0222,59
3066,0223,67
3066,0224,69
3066,0225,52
3066,0226,48
3066,0227,36
3066,0228,41
3066,0301,28
3066,0302,26
3066,0303,30
3066,0304,29
3066,0305,26
3066,0306,27
3066,0307,38
3066,0308,34
3066,0309,29
3066,0310,26
3066,0311,27
3066,0312,38
3066,0313,27
3066,0314,24
3066,0315,37
3073,0217,6
3073,0218,10
3073,0219,4
3073,0220,2
3073,0221,3
3073,0222,2
3073,0223,2
3073,0224,13
3073,0225,3
3073,0226,2
3073,0227,3
3073,0228,1
3073,0301,3
3073,0302,2
3073,0303,1
3073,0305,2
3073,0306,2
3073,0307,1
3073,0308,1
3104,0227,1
3104,0228,2
3104,0304,8
3104,0305,2
3104,0306,5
3104,0307,10
3104,0308,2
3104,0309,9
3104,0311,2
3104,0312,4
3104,0313,10
3104,0314,2
3104,0315,5
3107,0304,20
3107,0305,21
3112,0223,3
3112,0227,1
3112,0301,1
3128,0301,3
3128,0302,7
3128,0303,4
3197,0217,1
3197,0222,1
3202,0302,21
3229,0305,1
3230,0319,2
3234,0221,1
3234,0224,1
3234,0226,2
3234,0302,1
3234,0304,1
3253,0227,7
3253,0228,1
3253,0301,1
3253,0302,10
3253,0303,3
3253,0304,5
3253,0305,1
3253,0308,9
3358,0313,5
3405,0315,2
3405,0317,1
3407,0224,1
3407,0225,8
3407,0226,1
3407,0228,4
3407,0302,1
3407,0305,1
3407,0308,5
3407,0310,1
3407,0312,1
3407,0314,1
3444,0217,27
3444,0218,22
3444,0219,31
3444,0220,32
3444,0221,13
3444,0222,12
3444,0223,26
3444,0224,15
3444,0225,18
3444,0226,9
3444,0227,1
3444,0228,6
3444,0301,33
3444,0302,21
3444,0303,32
3444,0305,25
3444,0306,19
3444,0307,27
3444,0308,39
3445,0302,4
3445,0303,6
3445,0304,1
3463,0314,2
3463,0316,3
3463,0317,9
3463,0318,1
3477,0316,1
3477,0318,1
3491,0218,42
3491,0219,11
3491,0220,21
3491,0221,9
3493,0223,1
3513,0308,6
3513,0312,3
3513,0313,7
3513,0314,3
3513,0315,2
3513,0316,2
3513,0317,4
3522,0302,15
3527,0310,5
3527,0311,5
3527,0312,3
3527,0313,3
3527,0315,2
3527,0317,1
3527,0318,4
3527,0319,4
3554,0319,14
3571,0312,4
3571,0313,4
3571,0314,7
3571,0315,14
3571,0316,10
3571,0317,18
3571,0318,13
3571,0319,5
3598,0227,1
3688,0305,10
3688,0306,33
3688,0307,19
3688,0308,37
3688,0309,39
3688,0310,40
3688,0311,6
3688,0312,21
3688,0313,12
3688,0314,12
3688,0315,3
3688,0316,2
3688,0317,12
3688,0318,3
3688,0319,1
3692,0316,10
3729,0309,6
3729,0310,6
3729,0311,1
3735,0221,179
3735,0222,276
3735,0223,251
3735,0224,219
3735,0225,178
3735,0226,178
3735,0227,231
3735,0228,167
3735,0301,212
3735,0302,171
3735,0303,219
3735,0304,227
3735,0305,316
3735,0306,68
3769,0313,12
3786,0305,3
3786,0306,9
3786,0307,15
3786,0308,2
3786,0309,8
3786,0310,5
3788,0217,1
3788,0218,1
3788,0220,2
3788,0221,67
3799,0226,1
3799,0311,3
3824,0315,4
3824,0316,6
3824,0317,1
3849,0219,1
3849,0220,1
3849,0302,1
3849,0307,2
3854,0217,188
3854,0218,303
3854,0219,356
3854,0220,379
3854,0221,380
3854,0222,243
3854,0223,260
3854,0224,290
3854,0225,353
3854,0226,354
3854,0227,244
3854,0228,86
3854,0301,237
3854,0302,303
3854,0303,339
3854,0304,296
3854,0305,278
3854,0306,150
3854,0307,132
3854,0308,130
3854,0309,161
3854,0310,151
3854,0311,147
3854,0312,144
3854,0313,123
3854,0314,156
3854,0315,131
3854,0316,111
3854,0317,122
3854,0318,182
3854,0319,182
3868,0217,44
3868,0218,27
3868,0219,37
3868,0220,8
3922,0217,1
3922,0306,1
3922,0307,1
3922,0308,3
3922,0311,4
3922,0312,3
3922,0313,3
3922,0315,3
3922,0316,24
3922,0317,11
3958,0312,32
3958,0313,24
3958,0314,29
3958,0315,34
3958,0316,48
3958,0317,29
3958,0318,37
3958,0319,15
3996,0218,28
3996,0220,8
3996,0221,6
4001,0228,2
4001,0301,8
4001,0302,12
4001,0303,5
4001,0304,7
4001,0305,18
4001,0306,6
4001,0307,1
4001,0308,5
4001,0309,9
4001,0310,6
4001,0311,3
4001,0312,3
4001,0313,4
4001,0314,3
4001,0315,3
4001,0316,2
4001,0317,3
4001,0318,1
4001,0319,3
4004,0217,22
4004,0218,27
4004,0219,18
4020,0224,3
4020,0226,3
4020,0227,4
4020,0228,2
4020,0301,3
4020,0302,1
4020,0303,3
4020,0306,4
4020,0307,2
4020,0308,1
4020,0309,2
4020,0311,3
4020,0312,1
4020,0313,1
4020,0317,1
4022,0315,48
4022,0318,175
4022,0319,362
4033,0318,62
4033,0319,4
4085,0217,3
4085,0218,18
4085,0219,5
4085,0220,3
4085,0221,4
4085,0222,2
4085,0225,3
4085,0227,3
4085,0301,1
4085,0302,6
4085,0303,15
4085,0304,7
4085,0305,1
4085,0306,9
4085,0307,6
4085,0308,1
4085,0310,1
4085,0311,2
4085,0312,2
4085,0313,4
4085,0314,2
4085,0315,11
4085,0316,2
4085,0318,2
4085,0319,2
4115,0314,3
4115,0315,16
4115,0316,45
4115,0317,3
4147,0225,15
4157,0221,5
4157,0222,8
4160,0217,2
4160,0218,4
4160,0219,2
4160,0220,1
4160,0221,4
4160,0222,2
4160,0224,2
4160,0225,1
4160,0226,1
4160,0228,1
4160,0302,1
4160,0303,1
4160,0305,6
4162,0310,2
4162,0311,2
4162,0312,1
4162,0313,1
4164,0318,9
4168,0223,1
4168,0224,1
4168,0301,1
4184,0217,11
4184,0218,9
4184,0219,4
4184,0220,1
4184,0221,3
4205,0304,1
4205,0314,1
4205,0317,1
4227,0301,3
4227,0303,4
4227,0304,5
4227,0305,1
4227,0306,2
4227,0309,1
4227,0311,3
4228,0220,1
4228,0222,2
4228,0223,1
4228,0224,2
4228,0226,1
4228,0309,1
4228,0310,2
4228,0311,1
4228,0313,1
4228,0314,2
4228,0315,4
4228,0316,1
4238,0314,1
4238,0315,6
4238,0316,10
4238,0317,31
4238,0318,10
4238,0319,12
4274,0218,15
4286,0217,2
4286,0218,3
4286,0219,1
4287,0306,2
4287,0307,1
4287,0308,1
4287,0316,2
4313,0222,19
4313,0223,21
4313,0226,8
4313,0302,36
4313,0303,24
4313,0304,21
4313,0305,20
4313,0307,10
4344,0217,53
4344,0218,79
4385,0222,7
4385,0223,3
4385,0224,2
4385,0225,1
4385,0227,1
4385,0228,1
4385,0303,2
4385,0304,17
4385,0305,4
4385,0306,3
4385,0307,2
4385,0308,4
4385,0309,9
4385,0310,4
4385,0311,1
4385,0312,3
4385,0313,7
4385,0314,4
4385,0315,2
4385,0316,1
4385,0318,5
4385,0319,1
4392,0301,4
4392,0302,19
4392,0303,12
4392,0305,2
4392,0306,3
4392,0307,6
4392,0308,3
4392,0310,2
4392,0312,2
4392,0313,3
4392,0314,1
4392,0315,3
4392,0316,5
4392,0317,1
4392,0318,2
4392,0319,2
4462,0221,2
4462,0222,1
4462,0223,1
4462,0224,1
4462,0225,3
4462,0228,1
4462,0301,1
4462,0303,2
4462,0304,1
4462,0305,2
4462,0308,3
4462,0309,2
4462,0310,3
4462,0311,2
4462,0312,1
4462,0313,3
4484,0219,150
4484,0220,31
4484,0221,45
4484,0222,71
4484,0223,102
4484,0224,109
4484,0225,14
4484,0226,10
4484,0227,35
4484,0228,43
4484,0301,5
4485,0313,10
4485,0314,8
4485,0315,23
4587,0315,20
4587,0316,24
4587,0317,4
4606,0222,2
4606,0223,5
4606,0224,23
4606,0225,15
4606,0226,2
4639,0218,1
4639,0219,11
4639,0220,14
4639,0221,18
4639,0222,11
4639,0227,7
4639,0228,14
4639,0301,14
4639,0302,2
4639,0304,1
4639,0305,1
4639,0306,6
4639,0307,3
4639,0309,1
4639,0312,7
4639,0314,4
4639,0316,2
4639,0317,2
4639,0318,1
4639,0319,3
4758,0217,1
4758,0218,2
4758,0219,3
4758,0220,1
4771,0314,25
4771,0315,5
4771,0316,7
4771,0317,11
4771,0318,9
4771,0319,8
4778,0221,1
4801,0221,1
4803,0220,3
4803,0222,4
4872,0302,19
4872,0303,3
4872,0304,3
4872,0305,1
4872,0306,1
4872,0311,1
4872,0312,1
4889,0217,1
4889,0221,1
4889,0222,1
4889,0226,1
4889,0305,1
4889,0307,1
4889,0308,3
4889,0310,1
4889,0312,1
4901,0314,1
4944,0217,1
4944,0219,1
4952,0217,8
4952,0219,1
4952,0221,3
4952,0222,4
4952,0223,8
4952,0224,6
4952,0225,4
4952,0226,1
4952,0227,1
4952,0301,1
4952,0302,1
4952,0308,1
4952,0309,1
4952,0310,1
4964,0307,5
4964,0308,14
4964,0309,54
4964,0310,71
4964,0311,25
4964,0312,11
4981,0306,3
4981,0311,2
4981,0315,1
5015,0307,6
5015,0308,4
5015,0309,2
5021,0308,9
5021,0311,3
5049,0220,1
5049,0307,1
5078,0313,1
5078,0317,2
5078,0318,4
5078,0319,5
5097,0312,16
5100,0221,1
5104,0218,3
5104,0219,16
5104,0220,16
5104,0221,7
5114,0311,13
5114,0312,10
5114,0313,1
5166,0225,3
5166,0226,6
5166,0228,4
5166,0302,3
5166,0303,3
5166,0304,4
5166,0306,2
5166,0307,1
5166,0308,10
5166,0309,1
5166,0310,7
5166,0311,1
5166,0312,1
5166,0313,1
5166,0315,5
5166,0317,2
5166,0318,2
5166,0319,5
5173,0227,2
5173,0228,4
5173,0306,1
5175,0317,20
5176,0301,1
5227,0228,16
5227,0301,1
5227,0302,3
5227,0304,1
5227,0305,1
5227,0317,23
5227,0318,5
5227,0319,4
5241,0227,2
5241,0302,3
5241,0304,3
5241,0308,1
5241,0315,2
5262,0217,3
5262,0218,9
5262,0219,1
5262,0220,2
5262,0221,7
5262,0227,1
5262,0228,1
5262,0301,2
5262,0302,1
5262,0303,5
5262,0304,2
5262,0305,1
5262,0310,1
5262,0311,2
5262,0312,2
5262,0313,4
5262,0314,2
5305,0220,4
5305,0223,20
5305,0224,39
5305,0225,3
5305,0226,1
5305,0228,3
5315,0318,162
5326,0226,1
5339,0315,2
5339,0316,1
5342,0315,74
5342,0316,42
5342,0317,24
5342,0318,30
5342,0319,47
5359,0218,7
5359,0219,5
5359,0220,1
5359,0221,2
5359,0225,1
5359,0226,86
5359,0227,8
5364,0313,1
5364,0316,1
5416,0221,1
5426,0226,22
5426,0227,39
5426,0228,32
5426,0301,36
5426,0302,54
5426,0303,45
5426,0304,46
5426,0305,52
5426,0306,38
5426,0307,11
5432,0227,6
5432,0228,4
5432,0301,4
5432,0302,14
5432,0303,14
5432,0304,5
5432,0305,11
5432,0306,9
5432,0307,15
5432,0308,25
5504,0314,17
5504,0315,16
5557,0217,89
5557,0218,84
5557,0219,109
5560,0305,9
5560,0309,9
5560,0310,11
5560,0311,14
5560,0312,9
5560,0313,6
5560,0316,15
5560,0317,17
5560,0318,11
5562,0217,2
5562,0218,2
5562,0219,1
5562,0222,1
5562,0224,2
5574,0302,16
5617,0314,9
5617,0315,12
5617,0316,8
5617,0317,8
5617,0318,4
5617,0319,1
5658,0222,2
5682,0217,1
5682,0218,4
5682,0219,2
5682,0220,3
5682,0223,6
5682,0224,2
5682,0225,5
5682,0226,3
5682,0227,3
5682,0228,3
5682,0301,2
5682,0302,1
5682,0303,1
5682,0305,1
5706,0223,1
5706,0310,1
5706,0311,2
5706,0316,1
5706,0318,1
5716,0228,1
5719,0219,4
5719,0220,1
5719,0226,1
5719,0302,5
5719,0303,2
5719,0304,1
5719,0305,1
5726,0227,2
5730,0305,10
5730,0307,5
5730,0308,7
5730,0309,15
5730,0310,9
5730,0311,1
5730,0312,2
5747,0305,26
5747,0306,62
5747,0307,54
5747,0308,49
5747,0309,60
5747,0310,38
5747,0311,50
5747,0312,31
5747,0313,24
5747,0314,19
5754,0225,7
5754,0226,80
5754,0227,25
5754,0228,35
5754,0301,53
5754,0302,32
5754,0303,28
5754,0308,7
5754,0309,6
5754,0310,12
5754,0311,8
5754,0312,29
5754,0313,17
5754,0314,28
5754,0315,14
5774,0217,5
5774,0218,50
5774,0219,10
5774,0220,11
5774,0221,10
5774,0222,1
5814,0223,2
5814,0226,1
5814,0228,2
5814,0305,1
5814,0306,1
5814,0310,1
5814,0311,2
5814,0312,1
5814,0313,1
5829,0305,1
5829,0307,2
5829,0315,3
5915,0306,2
5921,0218,2
5921,0219,1
5921,0220,3
5921,0221,1
5921,0222,1
5921,0223,1
5921,0224,1
5921,0225,1
5921,0226,3
5921,0227,3
5921,0228,3
5921,0301,1
5921,0302,1
5921,0303,1
5921,0304,1
5921,0312,1
5980,0314,8
6017,0218,9
6017,0219,19
6017,0220,1
6017,0221,2
6017,0222,2
6017,0223,3
6017,0224,5
6017,0225,3
6017,0226,2
6017,0227,4
6017,0228,6
6017,0303,1
6017,0304,4
6017,0305,2
6017,0306,1
6017,0307,1
6017,0308,3
6017,0309,5
6017,0310,14
6017,0311,2
6017,0312,1
6017,0313,2
6017,0315,4
6017,0316,1
6017,0317,1
6017,0318,1
6017,0319,1
6020,0301,18
6024,0310,6
6024,0311,9
6024,0313,1
6063,0217,1
6063,0218,2
6063,0221,1
6063,0223,2
6063,0224,2
6063,0225,3
6063,0305,1
6063,0307,3
6063,0308,2
6063,0309,2
6063,0310,1
6063,0311,1
6067,0302,18
6067,0303,8
6067,0304,22
6067,0305,16
6067,0306,21
6067,0307,31
6067,0308,20
6067,0309,12
6067,0310,14
6067,0311,20
6067,0312,14
6067,0313,17
6067,0314,16
6067,0315,7
6067,0316,12
6071,0313,5
6071,0314,1
6071,0315,2
6071,0316,3
6071,0317,1
6071,0319,3
6084,0217,1
6102,0217,5
6102,0218,1
6102,0219,5
6102,0220,1
6102,0221,6
6102,0222,5
6102,0223,7
6102,0224,6
6102,0225,6
6102,0226,16
6102,0227,21
6102,0228,19
6102,0301,8
6102,0302,28
6102,0303,20
6102,0304,36
6102,0305,17
6102,0306,9
6102,0307,8
6102,0308,20
6102,0309,12
6102,0315,11
6105,0217,4
6105,0218,8
6105,0219,8
6105,0220,2
6105,0222,1
6105,0223,2
6105,0224,8
6105,0225,5
6105,0226,6
6105,0227,1
6105,0228,1
6105,0302,5
6105,0303,7
6105,0304,41
6105,0305,13
6105,0306,13
6105,0307,10
6105,0308,9
6105,0309,7
6105,0310,44
6105,0311,17
6105,0312,9
6105,0313,21
6105,0314,14
6105,0315,6
6105,0316,11
6105,0317,9
6105,0318,6
6105,0319,14
6114,0216,7
6114,0217,306
6114,0218,394
6114,0219,632
6114,0220,727
6114,0221,215
6114,0222,114
6114,0223,137
6114,0224,142
6114,0225,169
6120,0223,17
6120,0307,1
6120,0310,2
6120,0315,1
6120,0316,4
6126,0306,20
6129,0308,1
6129,0309,1
6129,0311,1
6171,0314,1
6173,0216,1
6173,0217,41
6173,0218,24
6173,0219,20
6211,0319,5
6226,0303,3
6226,0304,1
6226,0305,2
6226,0308,1
6226,0309,1
6243,0221,3
6243,0222,2
6243,0301,2
6243,0303,3
6243,0305,3
6278,0217,8
6278,0221,1
6278,0222,2
6278,0223,17
6278,0224,30
6278,0225,2
6278,0226,2
6278,0301,20
6278,0302,22
6278,0303,19
6278,0304,19
6278,0305,3
6278,0306,10
6278,0307,11
6278,0308,32
6278,0309,22
6278,0310,1
6278,0313,20
6278,0314,27
6278,0315,3
6300,0225,4
6313,0228,1
6353,0227,3
6370,0223,1
6370,0307,1
6437,0306,12
6437,0308,6
6437,0309,21
6437,0310,40
6437,0311,40
6437,0312,31
6437,0313,19
6437,0314,39
6437,0315,38
6437,0316,36
6437,0317,32
6437,0318,30
6437,0319,36
6456,0303,7
6456,0305,1
6459,0302,2
6459,0304,2
6459,0306,1
6459,0308,1
6501,0303,3
6501,0304,7
6501,0306,2
6501,0307,1
6501,0310,1
6501,0312,2
6501,0315,4
6517,0301,5
6517,0302,101
6517,0303,19
6517,0304,1
6517,0305,2
6517,0306,1
6517,0307,2
6517,0308,18
6517,0309,1
6517,0310,7
6517,0311,1
6517,0312,4
6517,0313,3
6517,0314,5
6517,0315,12
6517,0316,7
6526,0218,1
6526,0303,1
6526,0305,1
6526,0306,1
6526,0307,1
6526,0309,3
6526,0310,1
6526,0312,2
6558,0305,4
6558,0306,5
6558,0307,6
6560,0218,2
6560,0219,2
6560,0221,4
6560,0223,2
6560,0224,2
6560,0228,1
6560,0301,5
6560,0312,1
6637,0301,1
6637,0302,5
6637,0303,2
6637,0304,1
6637,0305,4
6637,0306,2
6637,0307,4
6637,0308,6
6637,0309,3
6637,0310,6
6637,0311,2
6637,0312,2
6637,0313,1
6637,0316,2
6637,0317,5
6637,0318,4
6637,0319,6
6643,0222,1
6650,0228,13
6650,0301,51
6650,0302,32
6650,0303,16
6650,0304,13
